sentiment,review_body,product_category
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
-1,I really liked this shirt the one time i got to wear it...but when i washed it  according to the directions on the tag  it shrunk! a lot! the sleeves are now too tight  and it is much shorter. thinking about returning it to the store  but in any case  i cannot wear it again.,Blouses
-1,I bought this top thinking i would wear this and feel like i was part of some fashion week  but it's cut way too large that i felt like a football player. this top is made for women with small shoulders and a super petite frame. also  the cut is way too big. i was swimming in this.,Blouses
-1,I wanted to love this product so badly. i ordered it in the mail  and it looked beautiful coming out of the box. i normally look really nice in grey  but this color really washed me out and was not nice on. the fabric is very sheer  so you would have to wear it over a camisole/tank top. this is one of those pieces that looks better on the hanger than in person. large in arms  small on body. odd fit.,Blouses
-1,"I was struggling with the options above-- does it fit true to size or is it too small or too large? it is both too small and too large  which is really strange. the model makes this shirt look stunning  but the product is actually very boxy. i am 5' 3""  weigh 112 lbs and i typically order anywhere from a 00p-0r/xxs-xs. i ordered this shirt in an xsp and the shirt sleeves were short and the middle was boxy. quite frankly  it looked like a maternity shirt and the structure was not worth the money",Blouses
-1,Really cute piece  but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.,Blouses
-1,Fits like a maternity top. not for my age group or build.,Blouses
-1,This blouse is quite stiff. i wouldn't mind the boxiness if this blouse weren't so long. even if you size down  because of the eyelet and the cute hem  it would be difficult to shorten this blouse to fit.,Blouses
-1,Wow this is huge! i'm all for the tent-look with the right style  but this was absurd. i could have fit two of me into the width  and with the peplum style  extra width doesn't flatter anyone. the fabric is also so thin that it doesn't hang nicely  it kind of floats around the body. if you want a wide top  then this is perfect  but if you wanted something that hangs nicely  look elsewhere. i purchased a petite s  my typical size.,Blouses
0,"This is a beautiful blouse but needs to be returned for size. i have lost a bit of weight; the last couple of blouses i have gotten in a m (including this one) have been to large for me. i am 5'5"" tall  138 lbs and in this blouse need a s. the fabric is satiny and substantial with a gorgeous lining edged in contrasting thread.  it hits at the top of my thigh in a regular size 8 but i should have ordered a 6. i would say to size down if you are close to being between sizes. the colors are as show",Blouses
0,This top is beautiful aesthetically  and i liked the tunic length. the bottom lace is cut out  so make sure things are adequately covered if you wear this with leggings. the fit is flattering.  however  i had some issues with the sizing. i usually wear an xs or a s in tops. the body of both sizes yielded a boxy fit for me  which is seen on the model.. i tried the top with a belt  which looked nice. however  the thing that stopped me from keeping the top was the shoulder/armpit/sleeve area. the s,Blouses
0,Nice color and great work but runs little large.,Blouses
0,"This top is so pretty in the photos  but it just did not work out for me. it is more of a pale pink color than off-white like in the photo and it just hung on me weird. i felt like it was true to size  but made me feel very boxy. i can say it was very well made  so maybe i'm just not the right body type for it. for reference  i'm 5'5"" and 135lbs. the small fit perfectly  but was a bit too wide at the bottom for my taste. i was willing to spend the money if it would have been perfect  but i'll sa",Blouses
0,While this top has a lovely design  neckline and color the metalic threads made it too shimmery for me. i actually think it looks better in pictures than in person because of the metallic threads.,Blouses
0,I saw this top online and had to buy it immediate (which is rare for me). it looked loose and forgiving but had a polished look. it didn't disappoint when i tried it on. however  the straps are a bit loose and will need to be altered. the linen fabric can be rough or itchy  but still a gorgeous top!,Blouses
0,"I loved this blouse  but had to return. i am 5'2""  127 lbs. 36d. i found that the blouse was tight in the bust and very wide in the shoulders. the sleeves are puffy  which is fine  but the wideness is from edge of the bib to where the sleeve is attached and therefore the top did not lay flat. if you have wide shoulders and a small bust - this blouse will be perfect for you. i liked the material  it was thin but perfect for a summer nights.",Blouses
0,There were no reviews when i ordered this tunic so nothing to help gauge fit. it is very cute but the fit is strange - very narrow in the shoulders and chest.,Blouses
0,This shirt is nice in theory but you need to have pretty long arms to make it work. you also need to be average to tall in height.,Blouses
1,I purchased this top in an antro store last week. the quality is wonderful and the greenish blue color is very unique. the blouse has a beautiful stretchy camsiole that is attached at the shoulders  but can be removed by snaps. i tooks great when worn two different ways. i wore it with the campole out  and it peeks through the blouse at the bottom. it also looks great when the camisole is worn in. my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli,Blouses
1,This is a really pretty print on a decent top. the only reason i returned is because it didn't look good with my skin tone and the fabric is thin. i'd planned to use it as a later under cardigans.,Blouses
1,Love this top! i'm 5' 118 lbs  purchased in a medium and plan on wearing it as a dress! it is so cute!,Blouses
1,Love this top! the colors are so fun and happy  and the fabric/fit are soft and breezy. it is definitely on the boxy side  but not in an unflattering way (in my opinion). super cute in my usual size small.,Blouses
1,"Effortless and super cute! i'm currently wearing my blue tunic for the first time with black leggings and booties - i absolutely love the everyday comfort of this piece! a few have mentioned length as being an issue - i'm wearing a regular s (my normal size) at 5'7"" and find the length similar to the model's. the cut on this is perfect - i was worried that it would look like a plaid sack on  but it's a slim cut that looks polished without needing to be belted. this will surely be a go-to for me",Blouses
1,Love this henely  the lace-up is cute. the shirt is comfy. so versatile. beach coverup or over jeans,Blouses
1,I bought the blue & white one and it is so very comfortable! it will look with my blue jeans and in the summer with my white leggings! great quality at a good price.,Blouses
1,This is a very pretty blouse. the fabric is lightweight and very soft. i read the other reviews and this does run very small  i ordered two sizes larger than i normally would and it fits very nicely.,Blouses
1,This top is absolutely adorable  i cannot express how much i love it. paired with skinny jeans and a bright cardi for the spring  this can easily transition into summer. it's actually cuter irl than in the picture. if you are on the fence about this  get it! you won't regret it.,Blouses
-1,I was so excited to get this classic-looking retailer dress- i love the ladylike shape and whimsical print. the popsicle print on this dress is really  truly adorable. unfortunately  the dress is cut really weird and it made me feel like screaming: i bought a size two and it was snug and gaping at the chest (and i'm only a 32b  ladies  so be warned!) at the same time  the arm holes were huge  i mean massively big. i think if you have a swimmer's body this might work. otherwise  you'll for sure nee,Dresses
-1,I disagree with other reviewers on this. it looks a lot better in picture on the model. i found it to run large and not fit in the most flattering way. fabric feels great. i want to love it but it is going back.,Dresses
-1,I just received this dress wadded up in a bag. it is nothing like the colors shown on line. in the picture it appears blue and white. in actuality it is teal and a funky color of beigey pink. the top is see though but it does see have a slip under the skirt. will be sending it back and again remind myself why i shouldn't try to buy a dress on line.,Dresses
-1,This is a beautiful dress. the quality is excellent. the 3 layers and the embroidery are beautiful... however it just didn't look right on me. it looked like a maternity dress. i am very petite  short with a big bust and it just did nothing for me. i think this style would look best on a tall woman with a smaller bust. unfortunately i will be returning this dress.,Dresses
-1,I really liked this dress in pictures online. i wanted to wear it to work on casual fridays. everything about this dress was a disappointment  especially at this price point. the fit was weird: tight in some places  too loose in others (i'm usually xs or s  i ordered this one is s). it's made out of a fairly thick and warm material  yet the neck area of the dress is more exposed than it appears in pictures  especially in the back  making it awkward to have this very warm dress with neck  upper b,Dresses
-1,The design is very flattering and holiday appropriate. but like many maeve dresses it is absurdly overpriced for the cheap materials used. although figure flattering  the zipper is so cheap that --it runs along the left side -- it bubbles out ruining the sleek look of the bodycon dress. and the rough cheap poly is not worth what they're asking for it. maybe find this on the sale rack but not at retail,Dresses
-1,"I bought the red motiff in my usual size of xxs petite and it was huge. at first i thought they had mistakenly sent the wrong size but this was sadly not the case. the fit is definitely ""sack-like"" as other reviewers mentioned. i had to return.",Dresses
-1,I really wanted this dress to be perfect  but the skirt portion flares out in a way that was not flattering. the other reviewer is about 8 inches taller than me  perhaps it works better on a taller frame.,Dresses
-1,I bought this dress online and was hoping it would be a great comfortable staple.. it may be the most unflattering piece of clothing i have ever tried on ever! i let my sisters try it on too  to see if they wanted it or liked it better  but it was awful on them as well. i ordered the xs in blue. it was beyond enormous and was just plain and unflattering. i am 5'7' and 115. i love swing dresses i just don't think is cut well.,Dresses
0,It's okay for a coverup or beach dress and lounging around the house. it's comfy and i like the detail of the back. the front is very plain but okay. it's not too baggy and it's a straight cut. the detail in the back makes it a keeper for me but only as a casual dress too chill at home or quick errands to grocery store.,Dresses
0,The print and style we're great! unfortunately  my bust unbuttons the top. there's no way i can wear this  even if i sized up.,Dresses
0,Love at first sight (via the internet); upon arrival  i was on the fence. . the fabric is slinky and loose; so much so that i should have ordered a medium instead of a large (perhaps then the dress would have then been more of an a-line fit vs. an over sized dress with no body). the lower section of the sleeves is attached intricately to the upper arms; every slight movement of the body is followed by a slight tug at the sleeve/arm cloth; otherwise  when the arms are extended  the sleeves do hav,Dresses
0,"I wanted to love this dress so much  but unfortunately it ran way too big for my taste. i am usually a 4/6 in retailer  and the small was huge on me. the bottom half of the dress is very much a ""swing"" dress and is very wide  much wider than it looks in the pictures. i suppose that sizing down (maybe even to a petite)  and having the dress altered to be narrower on the bottom half would've made it look like the picture  but that's a lot of extra work for a dress that is already pretty pricey.",Dresses
0,"I just think this dress is so cute! i love it with booties!   here are the fit details: i'm 5'4 1/2"" and the front of the dress hits just above my knees. (i was concerned that it would be too short for my lifestyle based on the photo). the sleeves roll up and have a tab to button  however the button is very low. therefore  the sleeve rolls up not mid arm  but actually about three inches above my wrist! (it's still super cute  just nowhere near my elbow. just letting you know).  final detail that",Dresses
0,This is such beautiful material  but the sleeves at the shoulders are terrible -- the gathered material makes it look like i'm wearing shoulder pads. that structured element compared to the rest of the dress (relatively unstructured) just looks ridiculous. i was so looking forward to this dress  and now it's going back.,Dresses
0,"I love the look of this dress & had high hopes  but it didn't live up to them. have no doubt that it is well made & beautiful  fully lined with lovely detailing around the neck. i am 5'6""  155lbs with a postpartum belly that i'd like to hide  so i chose this dress as the reviews say it's a bit loose & forgiving. i found it to be so loose that it looks big & entirely hides my figure! i considered ordering a small  but knew that it was simply the cut of the dress & going down a size wouldn't chang",Dresses
0,This dress looks cute in the picture and i was hopeful since it was actually silk. i'm tired of paying close to $200 for dresses that are polyester or viscose. that being said  this dress simply had too much going on. the fabrics aren't only mixed  but there is also a faint underlying pattern on the fabric that is the same shade of the main color of fabric. it was simply too much and the black lace trim made it look kind of cheap. my real issue is that although the dress itself ran big  the uppe,Dresses
0,This dress was very cute the first time i wore it  but after my second wear  the bottom layer didn't remain adjacent to the top layer and i found it to be awkward.,Dresses
1,How could this not be flattering to every figure? bunching of fabric is awesome at hiding imperfections (i know  i have become a master at hiding some of my residual baby weight for years now). this  paired with a darker color (and not black  yay!) makes for a perfect combination in a dress. i love that this is a deep purple  it is a dark color which is slimming  but in addition it has more appeal being colored. and it is so versatile! wear it along or with a cardigan/jacket on top. heels or boo,Dresses
1,I liked the way the dress looked in the front  but the material in the back was knit and very clingy. i did not think it was flattering on me.,Dresses
1,"I expected this dress to be pretty  but was happily surprised at the level of beautiful detail. it's hard to tell in the pictures  but the dress has a black background with tan embroidery all over  and white embroidered eyelets. the full lining is bright blue and it peeks through the eyelets  with the slit on the back and the inside of the neckline lined in bright orange. the slit on the back has two buttons closing it - a really cute detail. it fit me comfortably (i am 5'7"" and 130 - got the si",Dresses
1,This dress is very flattering. great unique dress.,Dresses
1,This is a beautiful dress. i love the bohemian style and flow. works well with dressing up or dressing down. very quality.,Dresses
1,I love this dress! tried it on at the store. they only had medium. while i'm usually always a medium  it fit perfectly but pulled at the bust (i'm a 38). i ordered a large online the next day. i have it now and i am extremely pleased. the pattern is unique  the length falls just above the knee and has s sexy flirtiness to it. the back button is key as it gives some contour to the dress. the side pockets are an awesome touch. you can wear this dress any season. i'm wearing it with ankle boots and,Dresses
1,The linen makes it a big wrinkly mess. i tried it on and just the act of trying it on  made it so wrinkly. i would have bought it in a second had it not been for that. love the mango color..i am in-between a 2-4 and went with the 2. i'm 5'3 and the length was a few inches above my knee...there is also a separate slip attached.  bummer.. maybe this won't bug some people but it would drive me mad. :-),Dresses
1,The issues the other reviewers mentioned didn't bother me as i don't have the prior years version to compare. i love the color and feel of the fabric.  a little heavier and great for early fall layering. the armholes weren't big for me but i got a small and would normally be a medium. the cut works great for a very curvy petite frame. it doesn't add bulk but does flatter a larger chest. i can see why this doesn't work for taller ladies as the pockets and hip do flare with the heavier fabric but,Dresses
1,"If it's a knock off  its of the ""poise"" dress  and a pretty good one at that. this is a beautiful dress that took my breath away the moment i saw it. when i saw such a poor rating i just had to see why. the erin fetherston dress is over $100 more and they look just about the same. i'd rather have the $ and the look!",Dresses
-1,Loved the look of the sweater and the the fit was as shown.  however this is a thin cashmere for the price.  returned.,Fine gauge
-1,I assumed at the price point this would be a high quality t-shirt/sweater. unfortunately  it is made of cheap looking material that is 50% acrylic and see-through.,Fine gauge
-1,I usually wear a size medium in angel of the north but this was very small. i would need to have ordered a size large or xl to have it fit. pretty but returning.,Fine gauge
-1,Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly  with beautiful detail and high quality material  but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the phot,Fine gauge
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
-1,I got this top to wear with shorts as the color goes with a lot of different prints. the quality is excellent. this top runs very large  as in three (3) sizes too large. for the record i am a 34.25.35 and ordered my regular size the xs and this top makes me like i'm pregnant with twins. also  the layering looks nothing like it does on the model  it looks sloppy  unkept and a general. i think this would still be great for ladies who are bigger in the chest and waist  otherwise it just doesn't wor,Fine gauge
-1,I was minimally torn over whether to return this but ultimately it's going back because the knit is just too thin. i thought it would be cozy and be of normal sweater weight but it's not. and because it's so light  the swing effect doesn't really come off. nothing special.,Fine gauge
-1,I loved the way it looks on. fit tts. only problem for me was it was so itchy. there is that small amt. of wool in it. if you have any problem with wool this may not work for you,Fine gauge
-1,Really wanted to luv this top buttt it ran small in arm length & in the front  bottom...backside was perfect coverage...also most important this top is see-through! item as pictured is not accurate!,Fine gauge
